"pid","final_sale_price"
1,638693.297316598
2,82420.0054403876
3,33313.8198600695
4,83086.5893060593
5,273573.147634373
6,188038.365698004
7,103512.807681287
8,155420.801375648
9,98344.4172010537
10,304123.865094123
11,204368.034986567
12,608913.457267398
13,327028.808873109
14,746683.998695918
15,93464.0662933654
16,174525.464263378
17,54922.4913316308
18,202367.175005291
19,102438.38661284
20,128768.346805494
21,165004.085337799
22,86075.7479010334
23,84381.0379416027
24,81658.2706698288
25,66386.4216217562
26,418434.80347266
27,64517.1297762223
28,588165.892014985
29,266549.531721141
30,257687.696435147
31,582086.602259837
32,67902.4521847816
33,784680.589869453
34,142772.261893985
35,455615.972682767
36,226166.377594996
37,114324.763892329
38,324742.836607153
39,594429.359186313
40,254413.710723047
41,254181.342649571
42,232322.489725194
43,112343.71333383
44,295249.178606123
45,239737.78177282
46,248016.86617519
47,315032.894716861
48,180196.746638806
49,134777.208769377
50,182105.974323603
51,204607.724640243
52,97017.5089689807
53,113658.619535129
54,458862.934586933
55,287388.821722837
56,114017.769175258
57,193010.397083242
58,214921.599658537
59,198110.536306145
60,83784.2736999862
61,279458.18770331
62,197002.382623339
63,118707.087277436
64,316744.032791939
65,332635.581821436
66,109828.760345033
67,138015.551736761
68,255975.05739205
69,559132.432952696
70,67161.5497738074
71,739917.23173056
72,293877.429923824
73,720520.695904442
74,257091.959049033
75,88983.8098662758
76,140376.868823198
77,188206.939750639
78,407432.961867669
79,196994.817465612
80,302960.613472155
81,157673.78490478
82,722685.194794033
83,584819.245188031
84,70577.4975289328
85,593125.438766723
86,114682.557931152
87,53731.364173448
88,267524.098281901
89,136308.1078448
90,241771.650436836
91,46747.0500817341
92,490553.877183856
93,1533720.79612733
94,75320.9909513514
95,91596.6602976275
96,61692.1170231339
97,203538.438778807
98,254827.023205197
99,53846.448416191
100,167050.497096258
101,206437.639256513
102,624165.216479931
103,310900.985754212
104,265621.222783778
105,164316.15402935
106,290487.753045873
107,76101.5014003169
108,101197.454334781
109,724039.190244672
110,310819.288338515
111,81822.2710484197
112,149289.965023195
113,457246.863377786
114,385953.515562608
115,350838.944559056
116,358843.056561107
117,185079.811951636
118,222789.281599159
119,151456.644219175
120,355315.309587772
